scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
lever,baseline_raw,lever-2026-04-01T21-21-36-064Z,lever_baseline_raw_063,runs/lever/raw/lever-2026-04-01T21-21-36-064Z,63,51-75,true,true,0,1,7.345,7342,1.774,7.913,192.896,256.082,65.794,69.447,86,93,5730.143,5801,7
lever,baseline_raw,lever-2026-04-01T21-22-02-831Z,lever_baseline_raw_064,runs/lever/raw/lever-2026-04-01T21-22-02-831Z,64,51-75,true,false,1,2,10.981,10980,1.509,7.992,198.664,218.594,69.426,79.874,52.778,92,5620,5842,10
lever,baseline_raw,lever-2026-04-01T21-22-24-096Z,lever_baseline_raw_065,runs/lever/raw/lever-2026-04-01T21-22-24-096Z,65,51-75,true,false,5,6,29.903,29865,0.825,6.939,210.237,219.262,70.724,79.364,79.821,94,5753.286,5797,28
lever,baseline_raw,lever-2026-04-01T21-23-07-210Z,lever_baseline_raw_066,runs/lever/raw/lever-2026-04-01T21-23-07-210Z,66,51-75,true,false,5,6,33.152,33150,1.033,5.586,208.496,254.902,68.389,76.23,83.767,94,5784.833,5844,30
lever,baseline_raw,lever-2026-04-01T21-23-54-822Z,lever_baseline_raw_067,runs/lever/raw/lever-2026-04-01T21-23-54-822Z,67,51-75,true,false,3,4,17.319,17318,0.704,5.564,219.027,257.684,66.727,73.671,85.889,94,5708.444,5850,18
lever,baseline_raw,lever-2026-04-01T21-24-23-005Z,lever_baseline_raw_068,runs/lever/raw/lever-2026-04-01T21-24-23-005Z,68,51-75,true,false,2,3,16.858,16831,1.132,5.81,213.648,255.824,69.517,76.716,70.25,92,5739,5739,16
lever,baseline_raw,lever-2026-04-01T21-24-52-062Z,lever_baseline_raw_069,runs/lever/raw/lever-2026-04-01T21-24-52-062Z,69,51-75,true,false,4,5,25.901,25897,0.862,4.959,217.885,259.426,70.436,78.345,85.522,94,5803.087,5842,24
lever,baseline_raw,lever-2026-04-01T21-25-37-239Z,lever_baseline_raw_070,runs/lever/raw/lever-2026-04-01T21-25-37-239Z,70,51-75,true,false,3,4,17.131,17129,1.372,6.91,213.352,252.453,68.54,76.651,64.313,94,5719.188,5844,17
lever,baseline_raw,lever-2026-04-01T21-26-07-258Z,lever_baseline_raw_071,runs/lever/raw/lever-2026-04-01T21-26-07-258Z,71,51-75,true,false,4,5,25.124,25123,1.04,4.873,210.955,246.086,71.597,78.337,64.8,93,5690.84,5801,25
lever,baseline_raw,lever-2026-04-01T21-26-41-486Z,lever_baseline_raw_072,runs/lever/raw/lever-2026-04-01T21-26-41-486Z,72,51-75,true,false,1,2,14.654,14652,0.666,1.899,218.799,259.996,66.508,75.994,82.417,93,5787,5787,13
lever,baseline_raw,lever-2026-04-01T21-27-11-533Z,lever_baseline_raw_073,runs/lever/raw/lever-2026-04-01T21-27-11-533Z,73,51-75,false,false,6,6,32.319,32317,0.706,4.056,219.794,264.574,70.246,80.245,71.5,94,5735.5,5840,29
lever,baseline_raw,lever-2026-04-01T21-27-59-976Z,lever_baseline_raw_074,runs/lever/raw/lever-2026-04-01T21-27-59-976Z,74,51-75,false,false,6,6,33.189,33187,0.839,6.199,217.056,257.277,69.83,75.807,66.839,94,5744.452,5850,31
lever,baseline_raw,lever-2026-04-01T21-28-51-568Z,lever_baseline_raw_075,runs/lever/raw/lever-2026-04-01T21-28-51-568Z,75,51-75,true,false,1,2,12.348,12334,0.781,3.603,210.235,253.645,68.749,77.902,34.417,90,5729,5729,12
lever,baseline_raw,lever-2026-04-01T21-29-12-763Z,lever_baseline_raw_076,runs/lever/raw/lever-2026-04-01T21-29-12-763Z,76,76-100,true,false,1,2,12.246,12221,0.988,5.761,209.55,256.492,69.94,77.369,88.091,94,5790.091,5821,12
lever,baseline_raw,lever-2026-04-01T21-29-40-105Z,lever_baseline_raw_077,runs/lever/raw/lever-2026-04-01T21-29-40-105Z,77,76-100,false,false,6,6,31.68,31600,0.956,5.752,214.725,255.188,68.559,76.587,68.393,94,5691.714,5832,30
lever,baseline_raw,lever-2026-04-01T21-30-26-902Z,lever_baseline_raw_078,runs/lever/raw/lever-2026-04-01T21-30-26-902Z,78,76-100,true,true,0,1,8.213,8211,0.748,2.259,198.411,252.945,64.239,67.267,79.875,93,5729,5729,8
lever,baseline_raw,lever-2026-04-01T21-30-46-323Z,lever_baseline_raw_079,runs/lever/raw/lever-2026-04-01T21-30-46-323Z,79,76-100,true,false,4,5,24.365,24363,0.886,3.887,214.22,225.32,71.547,80.409,83.5,94,5791.045,5830,24
